About the game,Genres
"Apus Software welcomes all card players and invites you to challenge your brains and hone strategic thinking skills in a turn - based strategy card game Astral Masters . Take a fantastic tour to the elaborately themed world of mages and wizards and engage into hot duels with hundreds of sneaky and artful magicians who will try to stop you on your way to Archmage ranks . In Astral Masters you will become a mage who specializes in some magic element such as Fire , Earth , Air , Water , or all at a time . Also , there will be six creatures to help you attack the enemy mage . Your life will depend on the number of magic elements you use and most typically it ' ll be 4 0 points . Your objective will be to weaken your opponent by casting spells and summoning creatures so that the enemy ' s life falls down to zero . The strength of your attack will depend on your overall power - the higher it will be , the more chances for victory you ' ll have . Astral Masters key features are : Totally addictive gameplay with cool bonuses; Sleek , eye - pleasing graphics with vignettes and artistic murals; Multiple tournaments , each with 8 rounds and different enemy mages; Computer and Multiplayer Modes; Comprehensive player ' s guide . Free online server .","Indie,Strategy"
"Summary Hear the shrieks of colliding metal ! Behold the true form of steel ! An explosive onslaught of shooting action ! Story Five hundred years had passed since the last war . Humanity succeeded in eliminating all forms of war , disease , and poverty , bringing about an era of perpetual peace . However , calamity soon struck . The sudden arrival of flying objects known as Steel Vampires threatened the entirety of mankind ' s existence . On the brink of extinction , the fate of mankind has been left to just a single person . A man deemed far too dangerous to the sustainment of humanity ' s serenity . He was cryogenically frozen - - his existence nearly erased from history . His name is . . . Yoshino Sakurajima . Gameplay Vertical scrolling shmup where defeating enemies at close range is key . Relish in destructive power as you fly through a hail of enemy fire ! More powerful weapons can be acquired the more you play . System Rank increases automatically as time passes ! Collecting red rank items will increase your rank ! Collecting green rank items , using Bombs , or losing a life will lower your rank ! More recovery items and bombs drop when enemies are defeated at close range ! A higher rank means more points ! Controller support In - game Achievements Online rankings support","Action,Casual,Indie"
"Escape the Prison - World ! Through the bizarre , colorful , yet dark areas of Heldia , Heroes look for a way to escape a demonic grasp . Azurebreak Heroes is a 2 D RPG with roguelite elements . Battle otherworldly creatures , enhance your skills , unlock new heroes and choose the upgrades you want while looking for a way to escape a prison - world of Heldia . Features A responsive , real - time combat system . 6 playable heroes , each with its own skill tree and perks ! Create builds by choosing artifacts you want ! All of the artifacts synergize with each other . Random level layouts . 3 possible endings to uncover . Secrets !","Indie,RPG"
"Meadowland is , in its core , a story . It is a story of dreams , magic and places far away . It is also an interactive poem , and a slow - paced experience in ambient delight . Explore a world , and enjoy the sights and sounds of it as you do . In Meadowland you take the role of a faerie , and you are free to explore the world as you see fit , in any pace you deem necessary . As you explore the landscape you will come across magic , secrets , people , and hopefully , a purpose . The point of the game is relax and enjoy the experience provided . Let yourself be immersed , and take the time you need to see everything .","Indie,Simulation"
"Enter the Cursed Tomb of the Lost Queen ! Egyptologists and archaeologists are abuzz about recent discoveries by a university dig team , but suspicious accidents left the group isolated and leaderless . Is a curse burying their progress or is someone sabotaging their success ? Find out as you assume the role of Nancy Drew and uncover the lost secrets buried within the Tomb of the Lost Queen ! Key features : Translate Hieroglyphs ! Decipher ancient clues and warnings Uncover Hidden Chambers ! Reassemble artifacts and solve ancient puzzles Discover Egyptology ! Play games and learn about early Egyptian life as you explore Carefully Choose Your Words ! How you ask questions may uncover surprising answers Sleuth with a New Interface ! Review important goals and notes in seconds Enjoy Enhanced Graphics ! Immerse yourself in the most richly detailed Nancy Drew mystery ever Select Difficulty Levels ! Play at Amateur or Master Sleuth level",Adventure
"Hello everyone , I love Bunny . One day my head suddenly asked me , why not make a full 3 D bunny game ? I thought about it and thought it was a good idea , so this game was born . This is a simple and relaxing bunny walking simulator game . Your only goal is to collect as many carrots as possible . Game Features Warm game atmosphere . A wide variety of bunny customization options , including body and skin . Can physically interact with carrots . Steam achievements support . Steam leaderboard support . Game Play Eat when you are hungry . Collect carrots constantly . Give the other rabbits a carrot and lead the other rabbits to run around .","Action,Casual,Indie,RPG,Simulation,Early Access"
"The Idiot ' s Tale is an old - school point - and - click adventure game with a truly warped sense of humor . You are Sir Jimothy Quest , a noble - but - ignorant knight - errant in the medieval kingdom of Dodotry . With your trusty sidekick Hoover the Owl , you ' ll venture across the land in search of legendary lost treasures . Along the way , you ' ll encounter fearsome monsters , classic fairy tale characters , corporate fast food , and more puzzles than you can shake your cursor at . Over eighty environments to explore ! Dozens of brain - twisting puzzles ! Guaranteed head - scratchers , hair - pullers , and nail - biters included ! Built - in hint system to help you beat the game without consulting the Internet ! Original jazz soundtrack for you to groove to as you cross the lands ! Can you find all three treasures and save the day ? Or are you just gonna run away like an idiot ?","Adventure,Indie"
"Master over 1 0 0 dungeons and 3 worlds in this dungeon crawler card game that puts YOU in control of the dungeon cards . Rearrange the dungeon cards to collect loot before rolling dice to slay foes with your nunchucks . Will you chug a power drank before you fight the vampire cat ? Or should you cast a spell and sip the power milk ? Read the cards carefully to make the right choices . Activate dungeon cards in the right order to build streaks for extra power . Tactics are everything . CONQUER Dungeon crawl through 3 whacky worlds - - Suburbia , the Haunted Forest , and the Deadly Dojo . The mailmen of suburbia are really mad about something , I ' m not sure what , but they ' re throwing envelopes at me and it really hurts ! This dungeon crawler card game is easy to pick up and hard to master . Activate cards in the right order for powerful streak bonuses , and unleash spells at just the right time to dominate the dungeon . CRAWL Descend through the multiple levels of each dungeon to slay tougher challengers . Rearrange the dungeon cards to face foes in the order you choose . Drink health drank to recover HP and power milk for an attack boost . Roll a D 4 , D 6 , or D 8 based on your weapon to determine your damage . With several types of dungeons including endless dungeons , this dungeon crawler card game will challenge you and provide countless hours of fun . COLLECT With a huge collection of whacky weapons , shields , and characters , Knights of the Card Table gives you plenty to achieve , and tons of tactical options . Play as a Sodamancer for an extra punch from potions , then pick up a riot shield and some brass knuckles to slay your foes with style . Also , everything looks so cool you ' ll want to collect it all . People always ask us , ' Can I carry cool weapons like this in real life ? ' No , you cannot . COWABUNGA This hilarious card crawl will delight you with its incredible art style , soundtrack , and puntastic dialogue . Chug a gallon of power milk for strong bones before heading into battle . Collect ice pops to buy new goodies and put your gold coins in your piggy bank to save up for a new , ahem , flash saber . This dungeon crawling card game has a captivating style all its own .","Casual,Indie,RPG,Strategy"
"Explore a dangerous planet that ' s different every time and try to survive ! The Galactic Union ' s job for you is clear : research the alien wildlife - - for science ! However , in this case , researching may include lasers , explosions , hungry aliens , space sushi , and other similarly delicious - or - terrifying hazards . In - between missions , use scrap metal you ' ve collected to upgrade your stats . Equipment With the amazing miracle of Science , you too can discover more than 2 0 0 incredible lost technologies such as the Bucket or the Action Figure . Collect them all to stock your space station with piles of toys , weapons , and creatures , like the hoarder you ' ve always wanted to be . Alien Frenemies Look , we all love aliens . But they don ' t always love us back . That ' s why we invented DOMESTICATION . The era of pet aliens has been one of many slimy , tentacled tummy - rubs . . . but next , we discovered a new problem : sometimes our pets wanted to go other places , do other things , or die prematurely . That ' s why we invented CLONING , to bring back our pets whenever we miss them . Science ! Solving problems , every day . Plus Completely Procedurally Generated Levels Everyone gets the same Daily Challenge - compare your progress with your friends Class system - each clone skin has a different advantage Whether you survive or die , you ' ll come away better than you started !","Indie,RPG,Strategy"
"GuardGrave is an old school styled game in the vein of BurgerTime . Players must close the coffins on each stage before the sun comes up . 7 Worlds , 7 Bosses and 3 7 Stages of co - op monster bashing mayhem ! 7 Worlds of monster bashing action ! 1 or 2 player co - op madness ! 3 gameplay modes to choose from ! 1 2 unique enemy types ! Simplistic Pick up and play arcade action ! Another outstanding soundtrack by the master of retro audio , Gryzor 8 7 ! ! Farting Viking Zombies ! Help a couple of old farts take on Bob the Evil Necromancer and save the world of grave digging from evil !","Action,Casual,Indie"
